study_id,metric_used_or_described,metric_agg,definitions_of_leader_initiator_etc,category
Hansen 2016,distance between individuals; patch occupancy,interindividual distance; patch occupancy,"finder where fish entered unoccupied patch, joiner wherer fish entered an occupied path",finder/joiner
Aguilar-Melo 2018,IID; fission fusion,fission fusion; interindividual distance,fission when gte 1 were not observed with a group for 2 consecutive scans; fusion when gte 1 who were previously not observed with group are observed with group for 2 consecutive scans,fission fusion
Baden 2016,cohesion = greatest pairwise distance within a group; fission = gte 1 individual absent in 2 consecutive scans; fusion = gte 1 individual now present in 2 consecutive scans,fission fusion; fission fusion; group cohesion,NA,fission fusion
Barocas 2016,group size; fission fusion,fission fusion; group size,fission and fusion defined as joining and leaving group in subsequent observations,fission fusion
Body 2015,nearest neighbour distances; fission fusion,fission fusion; nearest neighbour distance,fusion gte 2 groups merging into one; fission one group splitting into gte 2,fission fusion
DellaLibera 2023,sticky DBSCAN; fission fusion,fission fusion; interindividual distance,"define a fission and fusion event if one or more individuals left or  joined the group, respectively. in the rare cases of missing data, missing individuals are not considered as having changed group membership, and individual ‘disappearances’ and ‘reappearances’ in the dataset are not considered as fission–fusion events",fission fusion
Fortin 2009,interindividual distance; fission fusion,fission fusion; interindividual distance,fusion when within 100 m; fission when two or more consecutive locations separated by > 100 m,fission fusion
Haydon 2008,interindividual distances; fission fusion,fission fusion; interindividual distance,fusion where solitary to grouped and fission where grouped to solitary,fission fusion
Krueger 2014,herding; departure from group; spatial organization of group; pairwise following order,fission fusion; herding; position within group; rank position within group,NA,fission fusion
Lesmerises 2018,interindividual distance; fission fusion,fission fusion; interindividual distance,"fusion if within 50 m for two relocations; to minimize the false fission events, considered dyad valid if together at t0,  t2, but apart at t1; if one missing GPS location, dyad valid if before and after missing loc distance was <50 m",fission fusion
Merkle 2015,interindividual distance; fission fusion,fission fusion; interindividual distance,fusion defined as within 100 m within 24 hours,fission fusion
Nishikawa 2014,interindividual distances; fission fusion,fission fusion; interindividual distance,fusion when IID less than 20 m; fission when IID greater than 20  m,fission fusion
Wielgus 2020,IID; fission fusion,fission fusion; interindividual distance,group where simultaneously within 1 km or >= 1 km for <= 2 hr; fusion where together then different by one time step; fission reverse,fission fusion
Bista 2022,Prox; DI in direction; DI in displacement; overall DI,DI; DI in direction; DI in displacement; Prox,"temporal threshold 2 hour, distance threshold 100 m",group
