Covidence #,Study ID,Title,Reviewer Name,Type of study,Species,Region,Metric used or described,Citation for metric if not introduced in this current paper,Interpretation,Data input required,"Definitions of ""leader"", ""initiator"", etc",Dominance metric,Interpretation,Citation for dominance metric if not introduced in this paper,Analysis code availability,Programming language,Analysis code link,Analysis code availability location,Software package(s) used,Other comments about code availability,Discussion,Etc
3676,Weesner 2023,Interaction rules guiding collective behaviour in echolocating bats,Consensus,Empirical,Tadarida brasiliensis,"Oklahoma, USA",velocity; distance and bearing to leader; heading delay; time dependent delayed directional correlation;,heading delay and time delayed correlation this paper,NA,XYT,NA,NA,NA,NA,No,MATLAB; R,NA,NA,NA,NA,heading delay similar to Nagy 2010 but not cited,NA
3438,Strandburg-Peshkin 2013,Visual sensory networks and effective information transfer in animal groups,Consensus,Empirical,Notemigonus crysoleucas,"Princeton, New Jersey, USA",velocity; acceleration; bearing; IID; voronoi,NA,NA,XYT,NA,NA,NA,NA,No,SchoolTracker; R,NA,NA,NA,NA,NA,NA
3427,Sugiura 2014,Japanese macaques depend not only on neighbours but also on more distant members for group cohesion,Consensus,Empirical,Macaca fuscata,"Kinkazan Island, Japan",IID,NA,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
3141,Rahman 2020,School formation characteristics and stimuli based modeling of tetra fish,Consensus,Empirical,Gymnocorymbus ternetzi,Utah,relative angle; IID; zones; velocity of group; ,NA,NA,XYT,leadership as tendency to be at the front of the group,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
3132,Quaglietta 2014,"Sociospatial organization of a solitary carnivore, the Eurasian otter (Lutra lutra)",Consensus,Empirical,Lutra lutra,"Alentejo, Portugal",Doncaster's; correlation coefficient (Cr);  DI; proportion of fixes where dyad is interacting,Doncaster 1990; Cr Shirabe 2006; Long and Nelson 2012,NA,XYT,interaction if within 100 m anadd 1 hour,NA,NA,NA,No,R,NA,NA,wildlifeDI,NA,NA,home range overlap with adehabitat kerneloverlap
3064,Quera 2023,Motion leadership and local interaction in two species of freshwater fish (Danio rerio and Hyphessobrycon herbertaxelrodi),Consensus,Empirical,Danio rerio; Hyphessobrycon herbertaxelrodi,NA,directional correlation delay; momentary leadership rank; duration of leadership episodes; forefront index; acceleration; relative angle between fish; turning angle,Nagy et al 2010; forefront index (Gimeno 2018); acceleration Herbert-Read et al 2011 and Kartz et al 2011; ,forefront index is front-back distance along group's axis of movement ,XYT,"following Krause et al. (2000) and Collignon et al. (2019), the authors define a motion leader as an individual who initiates movement towards a certain direction and is followed by other group members",egalitarian leadership index,monopolization of leadership rank,Collignon et al 2019,No,R,NA,NA,NA,data: https://drive.google.com/drive/folders/1rmTI3W5Wh9zHukKRx4JPrpwALeFWkw3G?usp=sharing,NA,NA
3012,O'Bryan 2019,Contact calls facilitate group contraction in free-ranging goats (Capra aegagrus hircus),Consensus,Empirical,Capra aegagrus hircus,"Tsaobis Nature Park, Namibia",distance to group centroid; rank distance from group centroid; nearest neighbour distance; velocity of group; ,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,swaRm,NA,NA,NA
2992,Ordiz 2008,Distance-dependent effect of the nearest neighbor: Spatiotemporal patterns in brown bear reproduction,Consensus,Empirical,Ursus arctor,"Dalarna, Sweden; Gavleborg, Sweden; Heddmaark County, Norway",nearest neighbour distance,NA,NA,XYT,NA,NA,NA,NA,No,R,NA,NA,NA,NA,NA,NA
2802,Mielke 2020,Predictability and variability of association patterns in sooty mangabeys,Consensus,Empirical,Cercocebus atys atys,"Taï National Park, Côte d’Ivoire ",entropy,Ramos-Fernandez et al. 2018,"If all subgroup compositions contained the same individuals, entropy
would be minimal, as each single observation would not carry
any information different from what is already available. If all
subgroup compositions are different from each other, entropy
would be maximal, as previous information would not allow
the correct prediction of future subgroup compositions",XYT,group defined as all individuals within visual contact of focal individual,focal observations,NA,NA,No,R,NA,NA,NA,NA,NA,NA
2773,Miller 2012,Using Spatially Explicit Simulated Data to Analyze Animal Interactions: A Case Study with Brown Hyenas in Northern Botswana,Consensus,Empirical; Simulation,Parahyaena brunnea,"Makgadikgadi Pans, Botswana",coefficient of sociality; Lixn; Don; HAI; difference coefficient,coefficient of sociality: Poole 1995; Lixn: Minta 1992; Don: Doncaster 1990; HAI Atwood and Weeks 2003; difference coeffienct White and Harris 1994,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
2674,Lunardi 2014,"Fission-fusion dynamics of Guiana dolphin (Sotalia guianensis) groups at Pipa Bay, Rio Grande do Norte, Brazil",Consensus,Empirical,Sotalia guianens,"Pipa Bay, Rio Grande do Norte, Brazil",interindividual distance,NA,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
2642,Laube 2002,Analyzing relative motion within groups of trackable moving point objects,Consensus,Empirical,Rangifer tarandus,"Yukon, NWT, Alaska; ",motion azimuth; speed; change of speed; constance; turn; concurrence; opposition; dispersion; trendsetters; independent; propagation; group turn; group concurrence; flock; convergence; divergence,motion azimuth: this paper,azimuth has eight classes; ,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
2635,Ling 2019,Costs and benefits of social relationships in the collective motion of bird flocks,Consensus,Empirical; Model,Corvus monedula,"Cornwall, UK",nearest neighbour distance; ,NA,NA,XYT,NA,NA,NA,NA,No,NA,NA,NA,NA,data https://figshare.com/s/c55eb82bab800571d25d,NA,NA
2629,Leighty 2008,"Rumble vocalizations mediate interpartner distance in African elephants, Loxodonta africana",Consensus,Empirical,Loxodonta africana,"Bay Lake, Florida, USA",interindividual distance; ,NA,NA,XYT; audiologgers,proximity defined as 8 m; approach/avoidance after event defined as changes in interindividual distance after an event,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA
